case_public_id,field_name,service_alias,service_layer,metric_family,direction,magnitude_bucket,relative_offset_bucket,order_rank,serialized_expression
O23,change_order,S05,application_service,latency_p99,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S05 application_service latency_p99
O23,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S05 application_service cpu_usage
O23,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S04 application_service cpu_usage
O23,change_order,S05,application_service,memory_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,4,4 S05 application_service memory_usage
O23,change_order,S04,application_service,latency_p95,not_applicable,not_applicable,alert_anchor,5,5 S04 application_service latency_p95
O24,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O24,maximum_change,S04,application_service,latency_p95,down,extreme,not_applicable,,S04 application_service latency_p95 down extreme
O24,earliest_abnormal,S06,datastore,db_cpu_utilization,up,medium,anchor-30m_to_anchor-20m,,S06 datastore db_cpu_utilization up medium
O24,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S06 datastore db_cpu_utilization
O24,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,2,2 S05 application_service cpu_usage
O24,change_order,S05,application_service,memory_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,3,3 S05 application_service memory_usage
O24,change_order,S04,application_service,latency_p95,not_applicable,not_applicable,alert_anchor,4,4 S04 application_service latency_p95
O24,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,alert_anchor,5,5 S01 application_service latency_p95
O25,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O25,maximum_change,S04,application_service,http_5xx_count,down,extreme,not_applicable,,S04 application_service http_5xx_count down extreme
O25,earliest_abnormal,S05,application_service,cpu_usage,up,medium,anchor-20m_to_anchor-10m,,S05 application_service cpu_usage up medium
O25,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,1,1 S05 application_service cpu_usage
O25,change_order,S05,application_service,request_count,not_applicable,not_applicable,anchor-20m_to_anchor-10m,2,2 S05 application_service request_count
O25,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,3,3 S01 application_service cpu_usage
O25,change_order,S05,application_service,memory_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,4,4 S05 application_service memory_usage
