case_id,raw_metrics_file,raw_file_size_bytes,raw_rows,timestamp_count,service_count,instance_count,metric_family_count,source_metric_count,first_timestamp,last_timestamp,metric_window_start_ts,metric_window_end_ts,anchor_ts,metric_families,source_metrics
S02_payment_failure_run_14,raw/metrics_long.csv,1957347,18524,180,9,56,10,10,1777555958.9,1777557748.9,1777555958.9,1777557758.9,1777557758.9,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_15,raw/metrics_long.csv,2002059,18595,180,9,56,10,10,1777557826.067,1777559616.067,1777557816.07,1777559616.07,1777559616.07,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_16,raw/metrics_long.csv,1993342,18517,180,9,56,10,10,1777559670.026,1777561460.026,1777559670.03,1777561470.03,1777561470.03,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S02_payment_failure_run_17,raw/metrics_long.csv,2176384,20207,180,9,65,10,10,1777576039.401,1777577829.401,1777576039.4,1777577839.4,1777577839.4,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_01,raw/metrics_long.csv,2580647,24353,180,9,56,10,10,1776314653.614,1776316443.614,1776314643.61,1776316443.61,1776316443.61,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_02,raw/metrics_long.csv,2474851,23213,180,9,54,10,10,1776427715.814,1776429505.814,1776427705.81,1776429505.81,1776429505.81,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_03,raw/metrics_long.csv,2474442,23199,180,9,54,10,10,1776430421.078,1776432211.078,1776430411.08,1776432211.08,1776432211.08,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_04,raw/metrics_long.csv,2454926,23053,180,9,54,10,10,1776450789.287,1776452579.287,1776450789.29,1776452589.29,1776452589.29,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_05,raw/metrics_long.csv,2457946,23075,180,9,54,10,10,1776514053.314,1776515843.314,1776514053.31,1776515853.31,1776515853.31,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_06,raw/metrics_long.csv,2453564,23036,180,9,54,10,10,1776516808.545,1776518598.545,1776516808.54,1776518608.54,1776518608.54,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_07,raw/metrics_long.csv,2728456,25184,180,9,58,10,10,1776604363.663,1776606153.663,1776604363.66,1776606163.66,1776606163.66,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_08,raw/metrics_long.csv,2721611,25116,180,9,58,10,10,1776607030.255,1776608820.255,1776607030.25,1776608830.25,1776608830.25,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_09,raw/metrics_long.csv,2705672,25204,180,9,58,10,10,1776609699.96,1776611489.96,1776609689.96,1776611489.96,1776611489.96,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_10,raw/metrics_long.csv,2724822,25149,180,9,58,10,10,1776612357.732,1776614147.732,1776612357.73,1776614157.73,1776614157.73,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_14,raw/metrics_long.csv,2001545,18588,180,9,56,10,10,1777550395.994,1777552185.994,1777550385.99,1777552185.99,1777552185.99,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_15,raw/metrics_long.csv,2003318,18602,180,9,56,10,10,1777552254.527,1777554044.527,1777552244.53,1777554044.53,1777554044.53,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_16,raw/metrics_long.csv,2001383,18584,180,9,56,10,10,1777554112.131,1777555902.131,1777554102.13,1777555902.13,1777555902.13,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S03_checkout_pod_kill_run_17,raw/metrics_long.csv,2175857,20202,180,9,65,10,10,1777574230.395,1777576020.395,1777574230.39,1777576030.39,1777576030.39,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_01,raw/metrics_long.csv,2663721,24988,180,9,57,10,10,1776337696.579,1776339486.579,1776337686.58,1776339486.58,1776339486.58,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
S04_productcatalog_network_delay_run_02,raw/metrics_long.csv,2446083,23162,180,9,54,10,10,1776390909.09,1776392699.09,1776390909.09,1776392709.09,1776392709.09,cpu_usage;dependency_error_ratio;error_ratio;http_5xx_ratio;latency_p95;memory_usage;pod_restart_count;pod_running_count;queue_lag;request_count,container_cpu_usage;container_memory_working_set_bytes;http_server_5xx_ratio;k8s_container_ready;k8s_container_restarts;queue_size_ratio;trace_client_error_ratio;trace_server_count;trace_server_error_ratio;trace_server_latency_p95
