case_id,family_id,metric_row_index,change_order_rank,is_dominant,is_earliest,service,metric_family,earliest_offset_min,peak_offset_min,baseline_mean,baseline_std,earliest_value,earliest_delta_pct,earliest_residual_z,peak_value,peak_delta,peak_delta_pct,peak_residual_z,sustained_trigger_points,rank_score
S01_ad_high_cpu_run_01,S01_ad_high_cpu,51,,false,false,frontend,http_5xx_ratio,,-9.500,0.000800595533012,0.00444501870946,,,,0,-0.000800595533012,-100,-0.180110722888,0,0.0577925568371
S01_ad_high_cpu_run_01,S01_ad_high_cpu,52,3,false,false,frontend,request_count,-9.500,-1.000,21.8213114754,48.9548654748,0,-100,-0.445743467248,143.233333333,121.412021858,556.391956527,2.48008079852,57,2.46404443918
S01_ad_high_cpu_run_01,S01_ad_high_cpu,53,,false,false,payment,dependency_error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,54,,false,false,payment,error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,55,,false,false,payment,request_count,-9.500,-1.000,0.543169398907,1.29839952289,0,-100,-0.41833764518,4.1,3.55683060109,654.828973843,2.73939610913,57,1.17300053701
S01_ad_high_cpu_run_01,S01_ad_high_cpu,56,,false,false,product-catalog,dependency_error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,57,,false,false,product-catalog,error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,58,4,false,false,product-catalog,request_count,-9.500,-3.833,18.2008196721,41.2534062099,0,-100,-0.441195560423,109.95,91.7491803279,504.093672596,2.22403890387,57,2.32322139713
S01_ad_high_cpu_run_01,S01_ad_high_cpu,59,,false,false,recommendation,dependency_error_ratio,-8.667,-8.667,0.00564022525038,0.0432304387526,0.336633663366,5868.44360681,7.65649037268,0.336633663366,0.330993438116,5868.44360681,7.65649037268,1,2.19685155978
S01_ad_high_cpu_run_01,S01_ad_high_cpu,60,,false,false,recommendation,error_ratio,,-9.500,0,1e-06,,,,0,0,,0,0,0
S01_ad_high_cpu_run_01,S01_ad_high_cpu,61,,false,false,recommendation,request_count,-9.500,-1.000,1.37213114754,3.07600476174,0,-100,-0.446075755345,8.85,7.47786885246,544.982078853,2.43103292474,57,1.82780108146
S01_ad_high_cpu_run_01,S01_ad_high_cpu,62,,false,false,ad,latency_p95,-8.667,-4.833,1.97305042983,0.219069991318,3.71794258373,88.4362673923,7.96499850759,8.01666666667,6.04361623684,306.308249677,27.5876043108,9,13.3
S01_ad_high_cpu_run_01,S01_ad_high_cpu,63,,false,false,cart,latency_p95,-8.667,-1.000,2.70716491486,0.906074632821,7.09361702128,162.03121141,4.8411598201,7.67843137255,4.97126645769,183.633676338,5.48659710538,9,6.37528053359
S01_ad_high_cpu_run_01,S01_ad_high_cpu,64,,false,false,frontend,latency_p95,-8.667,-4.833,41.0822710117,2.05411355059,48.6544276635,18.4316895471,3.68633790941,62.3674614022,21.2851903905,51.811133772,10.3622267544,9,10.1722525972
S01_ad_high_cpu_run_01,S01_ad_high_cpu,65,,false,false,product-catalog,latency_p95,-8.667,-7.667,5.25524559106,1.05124246328,19.4183886839,269.504875603,13.4727654062,21.6679562044,16.4127106133,312.311010569,15.6126785081,9,13.3
S01_ad_high_cpu_run_01,S01_ad_high_cpu,66,,false,false,recommendation,latency_p95,-8.667,-7.667,4.14629873399,0.361743441821,12.7333333333,207.101203996,23.7379136885,34.5288461538,30.3825474199,732.763106788,83.9892141981,9,13.3
S01_ad_high_cpu_run_01,S01_ad_high_cpu,67,,false,false,checkout,latency_p95,-5.833,-4.833,148.524627135,153.29990186,98.8068181818,-33.4744546492,-0.324317291465,366.25,217.725372865,146.592101973,1.42025774461,6,2.27766150321
S01_ad_high_cpu_run_01,S01_ad_high_cpu,68,,false,false,email,latency_p95,-8.667,-8.667,5.98565083373,1.39368542331,36.4,508.121004902,21.8229656834,36.4,30.4143491663,508.121004902,21.8229656834,9,13.3
S01_ad_high_cpu_run_01,S01_ad_high_cpu,69,,false,false,payment,latency_p95,,-2.833,1.9020539288,0.0951026964399,,,,1.97307692308,0.0710229942798,3.73401580284,0.746803160568,0,0.146622353858
S01_ad_high_cpu_run_02,S01_ad_high_cpu,1,,true,true,ad,cpu_usage,-9.167,-1.667,0.00248870640432,0.000273414801295,0.577118381274,23089.4923512,2101.67727624,2.72496804886,2.72247934246,109393.351411,9957.32246229,55,14
S01_ad_high_cpu_run_02,S01_ad_high_cpu,2,,false,false,ad,memory_usage,,-8.500,248099091.269,12404954.5634,,,,253255680,5156588.73118,2.07843918525,0.41568783705,0,0.0816133786742
S01_ad_high_cpu_run_02,S01_ad_high_cpu,3,,false,false,ad,pod_restart_count,,-9.333,0,1e-06,,,,0,0,,0,0,0
